ru;en;kcal;catRu;catEn;gr
Спаржа Отварная;Boiled Asparagus;22;Гарнир;Side Dishes;
Спаржа с Брокколи на Пару;Steamed Asparagus with Broccoli;;Гарнир;Side Dishes;
Спаржа со Шпинатом и Луком;Asparagus with Spinach and Onions;;Гарнир;Side Dishes;
Спринг Ролл с Овощами;Vegetable Spring Roll;150;Завтрак;Breakfast;60
Стейк из Лосося;Salmon Steak;210;Горячее;Main Courses;150
Стейк из Молодой Капусты;Young Cabbage Steak;35;Горячее;Main Courses;150
Стейк из Молодой Капусты с Овощным Соусом;Young Cabbage Steak with Vegetable Sauce;100;Горячая Закуска;Hot Starters;
Стейк из Палтуса;Halibut Steak;110;Горячее;Main Courses;150
Стейк из Сельдерея;Celery Steak;72;Горячая Закуска;Hot Starters;100
Стейк из Сёмги Запеченный с Соусом Песто;Baked Salmon Steak with Pesto Sauce;250;Горячее;Main Courses;
Стейк из Сёмги под Соусом Терияки;Salmon Steak with Teriyaki Sauce;220;Горячее;Main Courses;150
Стейк из Сёмги Терияки;Teriyaki Salmon Steak;210;Горячее;Main Courses;
Стейк Лосося Терияки;Teriyaki Salmon Steak;200;Горячее;Main Courses;150
Стейк Рибай на Кости;Bone In Ribeye Steak;330;Горячее;Main Courses;
Стейк Тибон;T-Bone Steak;310;Горячее;Main Courses;
Стерлядка Фаршированная;Stuffed Sturgeon;150;Закуска;Starters;1150
Стерлядь Томленая с Томатами и Оливками;Sturgeon with Tomatoes and Olives;170;Горячее;Main Courses;150
Судак Жареный;Fried Pike Perch;;Гарнир;Side Dishes;
Судак Запеченный;Pikeperch Baked;125;Горячее;Main Courses;
Судак Запеченный под Маринадом;Pikeperch Baked with Marinade;120;Горячее;Main Courses;150
Судак Запеченный с Травами;Pike Perch Baked with Herbs;;Горячее;Main Courses;
Судак Запечённый со Спаржей;Baked Pike Perch with Asparagus;133;Горячее;Main Courses;300
Судак Отварной;Boiled Pike Perch;85;Горячее;Main Courses;
Судак под Маринадом;Pikeperch with Marinade;125;Горячее;Main Courses;150
Судак по-Польски;Pike Perch Polish Style;150;Горячее;Main Courses;150
Сулугуни;Suluguni Cheese;286;Завтрак;Breakfast;30
Суп Гороховый с Копченой Курицей;Pea Soup with Smoked Chicken;70;Супы;Soups;200
Суп из Белой Фасоли со Шпинатом;White Bean Soup with Spinach;200;Супы;Soups;200
Суп из Красной Чечевицы с Курицей;Red Lentil Soup with Chicken;80;Супы;Soups;200
Суп из Ласточкиного Гнезда;Swallow's Nest Soup;30;Супы;Soups;200
Суп из Чечевицы;Lentil Soup;85;Супы;Soups;200
Суп Кокосовый с Цыпленком;Coconut Soup with Chicken;100;Супы;Soups;200
Суп Крестьянский Грибной;Peasant Mushroom Soup;50;Супы;Soups;200
Суп Куриный;Chicken Soup;55;Супы;Soups;200
Суп Куриный по-Деревенски;Country-Style Chicken Soup;70;Супы;Soups;200
Суп Куриный по-Домашнему;Homemade Chicken Soup;70;Супы;Soups;200
Суп Куриный с Галушками;Chicken Soup with Halusky;45;Супы;Soups;200
Суп Куриный с Лапшой;Chicken Noodle Soup;55;Супы;Soups;200
Суп Куриный с Овощами и Репой;Chicken Soup with Vegetables and Turnips;120;Супы;Soups;200
Суп Лапша с Фрикадельками;Noodle Soup with Meatballs;177;Супы;Soups;200
Суп Луковый с Репой и Спаржей;Onion Soup with Turnip and Asparagus;35;Супы;Soups;200
Суп Минестроне;Minestrone Soup;45;Супы;Soups;200
Суп Овощной с Фасолью;Vegetable Soup with Beans;50;Супы;Soups;200
Суп Овощной со Шпинатом;Vegetable Soup with Spinach;60;Супы;Soups;200
Суп Рыбный;Fish Soup;145;Супы;Soups;200
Суп с Белыми Грибами и Перловкой;Soup with Porcini Mushrooms and Barley;200;Супы;Soups;200
Суп с Говядиной по-Домашнему;Homemade Beef Soup;70;Супы;Soups;200
Суп с Копченым Цыпленком и Кукурузой;Smoked Chicken and Corn Soup;65;Супы;Soups;200
Суп с Куриными Потрошками;Chicken Giblets Soup;90;Супы;Soups;200
Суп с Лососем и Водорослями Вакамэ;Salmon and Wakame Seaweed Soup;;;;
Суп с Молодой Капустой;Young Cabbage Soup;45;Салаты;Salads;200
Суп с Фрикадельками и Вермишелью;Soup with Meatballs and Vermicelli;60;Супы;Soups;200
Суп с Фрикадельками из Курицы;Chicken Meatball Soup;65;Супы;Soups;200
Суп Тыквенный;Pumpkin Soup;70;Супы;Soups;200
Суп Фасолевый по-Тоскански;Tuscan-Style Bean Soup;80;Супы;Soups;200
Суп Харчо;Kharcho Soup;120;Супы;Soups;200
Суп Шурпа;Shurpa Soup;110;Супы;Soups;200
Суп Щавелевый с Курицей;Sorrel Soup with Chicken;60;Супы;Soups;200
Суп Щавелевый с Курицей и Перепелиным Яйцом;Sorrel Soup with Chicken and Quail Egg;;Супы;Soups;
Суп Щавелевый с Курицей и Яйцом;Sorrel Soup with Chicken and Egg;115;Супы;Soups;200
Суп-Гуляш;Goulash Soup;90;Супы;Soups;200
Суп-пюре из Брокколи с Шпинатом;Broccoli Soup-Puree with Spinach;45;Супы;Soups;200
Суп-пюре из Молодого Горошка;Young Pea Puree Soup;60;Супы;Soups;200
Суп-пюре из Моркови и Сельдерея;Carrot and Celery Cream Soup;50;Супы;Soups;200
Суп-пюре из Тыквы;Pumpkin Soup-Puree;55;Супы;Soups;200
Суп-пюре из Тыквы с Пастернаком;Pumpkin and Parsnip Soup-Puree;45;Супы;Soups;200
Суп-пюре из Цветной Капусты с Морковью и Пастернаком;Cauliflower Soup with Carrots and Parsnips Puree-Soup;40;Супы;Soups;200
Суп-пюре из Цукини;Zucchini Cream Soup;25;Супы;Soups;200
Суп-пюре из Цукини с Брокколи и Шпинатом;Zucchini Soup-Puree with Broccoli and Spinach;70;Супы;Soups;200
Суп-пюре из Чечевицы;Lentil Cream Soup;80;Супы;Soups;200
Суп-пюре с Тыквой и Пастернаком;Pumpkin and Parsnip Soup-Puree;45;Супы;Soups;200
Суши;Sushi;140;Холодная Закуска;Cold Starters;50
Сыр;Cheese;270;Завтрак;Breakfast;40
Сыр Козий;Goat Cheese;157;Завтрак;Breakfast;35
Сыр Плавленый;Processed Cheese;280;Завтрак;Breakfast;30
Сыр Российский;Rossiyskiy Cheese;274;Завтрак;Breakfast;20
Сырная Тарелка;Cheese Platter;300;Закуска;Starters;80
Сырник с Вишней;Cheesecake with Cherry;250;Завтрак;Breakfast;
Сырники;Syrniki;177;Завтрак;Breakfast;80
Сырники с Изюмом;Cheesecakes with Raisins;220;Завтрак;Breakfast;70
Сырники с Кокосово-Ванильным Соусом;Syrniki with Coconut-Vanilla Sauce;270;Завтрак;Breakfast;
Сырники с Ягодным Соусом;Syrniki with Berry Sauce;220;Завтрак;Breakfast;100
Сэндвич с Томатами и Сыром;Tomato and Cheese Sandwich;260;Завтрак;Breakfast;
Сэндвич с Цыпленком;Chicken Sandwich;130;Завтрак;Breakfast;150
Сэндвич с Цыпленком в Безглютеновой Булочке;Chicken Sandwich with a Gluten Free Bun;180;Завтрак;Breakfast;200
Сэндвич с Цыпленком и Огурцом;Chicken and Cucumber Sandwich;250;Завтрак;Breakfast;
Тако в Мини Романо с Цыпленком и Огурцом;Taco in Mini Romaine with Chicken and Cucumber;170;Завтрак;Breakfast;
Тако из Мини Романо с Куриной Грудкой;Mini Romano Chicken Breast Tacos;90;Завтрак;Breakfast;80
Тако с Мини Романо и Цыпленком;Taco with Mini Romano and Chicken;170;Завтрак;Breakfast;30
Тако с Рваной Говядиной и Гуакамоле;Pulled Beef Tacos with Guacamole;190;Закуска;Starters;80
Тальята из Телятины;Veal Tagliata;130;Горячее;Main Courses;150
Тальята из Телятины Су-Вид;Veal Tagliata Sous-Vide;200;Горячее;Main Courses;150
Тальята из Телячьей Вырезки;Veal Tenderloin Tagliata;190;Горячее;Main Courses;
Тальята с Соусом Фуагра;Tagliatta with Fois Gras Sauce;230;Горячее;Main Courses;150
Тапенада из Оливок;Olive Tapenade;230;Салаты;Salads;
Тартар из Свеклы и Авокадо;Beetroot and Avocado Tartare;160;Салаты;Salads;
Творог с Вареньем;Cottage Cheese with Jam;140;Завтрак;Breakfast;100
Творог с Вишневым Вареньем;Cottage Cheese with Cherry Jam;140;Завтрак;Breakfast;
Творог с Вишней;Cottage Cheese with Cherries;150;Завтрак;Breakfast;
Творог с Голубикой;Cottage Cheese with Blueberries;120;Завтрак;Breakfast;120
Творог с Земляничным Вареньем;Cottage Cheese with Wild Strawberry Jam;150;Завтрак;Breakfast;50
Творог с Медом;Cottage Cheese with Honey;146;Завтрак;Breakfast;70
Творог с Медом и Голубикой;Cottage Cheese with Honey and Blueberries;135;Завтрак;Breakfast;100
Творожная Запеканка с Вишневым Джемом;Cottage Cheese Casserole with Cherry Jam;200;Завтрак;Breakfast;
Творожная Запеканка с Голубикой;Cottage Cheese Casserole with Blueberries;170;Завтрак;Breakfast;120
Творожная Запеканка со Сливой;Cottage Cheese Casserole with Plum;160;Завтрак;Breakfast;100
Творожный Пудинг;Curd Pudding;210;Завтрак;Breakfast;
Телятина на Кости;Veal on the Bone;180;Горячее;Main Courses;180
Телятина на Кости Жаренная;Fried Veal on the Bone;200;Горячее;Main Courses;
Телятина на Кости с Лисичками;Veal on the Bone with Chanterelles;175;Горячее;Main Courses;
Телятина с Овощами по-Азиатски;Asian-Style Veal with Vegetables;150;Горячее;Main Courses;150
Телятина су-вид;Veal sous vide;210;Горячее;Main Courses;150
Телячий Бульон с Телятиной;Veal Broth with Veal;30;Супы;Soups;200
Телячий Язык с Пюре из Брокколи и Соусом из Печеных Перцев;Veal Tongue with Broccoli Puree and Roasted Pepper Sauce;140;Горячая Закуска;Hot Starters;120
Телячий Язык с Соусом из Печеного Перца;Veal Tongue with Roasted Pepper Sauce;130;Горячее;Main Courses;145
Телячьи Почки в Томатном Соусе с Овощами;Veal Kidneys in Tomato Sauce with Vegetables;120;Закуска;Starters;80
Телячьи Хвосты с Овощами;Veal Tails with Vegetables;140;Закуска;Starters;140
Телячья Вырезка Су-вид;Veal Tenderloin Sous Vide;130;Горячее;Main Courses;130
Теплый Салат из Кабачка с Соусом из Печеного Перца;Warm Zucchini Salad with Roasted Pepper Sauce;80;Салаты;Salads;150
Теплый Салат с Баклажанами и Помидорами;Warm Salad with Eggplant and Tomatoes;60;;;150
Тефтели в Соусе из Овощей;Meatballs in Vegetable Sauce;;Горячее;Main Courses;
Тефтели из Индейки;Turkey Meatballs;82;Горячее;Main Courses;150
Тефтели из Индейки Томлёные с Луком;Turkey Meatballs Stewed with Onions;122;Горячее;Main Courses;150
Тефтели из Курицы с Овощами;Chicken Meatballs with Vegetables;160;Горячее;Main Courses;
Тефтели из Телятины;Veal Meatballs;220;Горячее;Main Courses;140
Тефтели из Телятины на Пару;Steamed Veal Meatballs;180;Горячее;Main Courses;
Тефтели из Телятины с Овощами;Veal Meatballs with Vegetables;;Гарнир;Side Dishes;
Тефтели из Ягненка;Lamb Meatballs;190;Горячее;Main Courses;
Тефтели Куриные;Chicken Meatballs;140;Гарнир;Side Dishes;150
Тефтели Куриные в Томатном Соусе;Chicken Meatballs with Tomato Sauce;150;Горячее;Main Courses;120
Тефтели Куриные в Томатном Соусе с Фасолью;Chicken Meatballs in Tomato Sauce with Beans;120;Горячее;Main Courses;150
Тефтели Куриные с Овощами;Chicken Meatballs with Vegetables;110;Горячее;Main Courses;145
Тефтели с Овощами;Meatballs with Vegetables;130;Супы;Soups;200
Тефтели Тушеные с Овощами;Stewed Meatballs with Vegetables;;Горячее;Main Courses;
Томатный Суп;Tomato Soup;40;Супы;Soups;200
Томаты с Базиликом;Tomatoes with Basil;25;Салаты;Salads;
Томаты с Красным Луком и Базиликом;Tomatoes with Red Onion and Basil;20;Салаты;Salads;
Томаты с Рукколой и Базиликом;Tomatoes with Rucola and Basil;30;Салаты;Salads;
Томаты с Ялтинским Луком и Базиликом;Tomatoes with Yalta Onion and Basil;25;Салаты;Salads;
Томлёная Бедро Индейки;Stewed Turkey Thigh;120;Горячее;Main Courses;200
Томленая Индейка в Собственном Соку;Stewed Turkey in Its Own Juice;137;Горячее;Main Courses;
Томленое в Бульоне Филе Дорадо;Dorado Fillet Stewed in Bouillon;120;Горячее;Main Courses;150
Тосканский Классический Суп;Tuscan Classic Soup;149;Супы;Soups;200
Тосканский Фасолевый Суп;Tuscan Bean Soup;85;Супы;Soups;200
Тост;Toast;154;Завтрак;Breakfast;30
Тост Гречишный;Buckwheat Toast;250;Завтрак;Breakfast;30
Тост из Белого Хлеба;White Bread Toast;90;Завтрак;Breakfast;
Тост из Бородинского Хлеба (1 кусок);Borodinsky Bread Toast (1 slice);70;Завтрак;Breakfast;
Тост из Отрубного Хлеба;Bran Bread Toast;250;Завтрак;Breakfast;25
Тост с Колбасой и Сыром;Toast with Sausage and Cheese;270;Завтрак;Breakfast;
Тост с Сыром;Toast with Cheese;225;Завтрак;Breakfast;40
Треска Жареная;Fried Cod Fish;111;Горячее;Main Courses;200
Треска Запеченная;Baked Cod;90;Горячее;Main Courses;150
Тушёная Зеленая Фасоль;Stewed Green Beans;46;Гарнир;Side Dishes;100
Тушеная Индейка;Stewed Turkey;100;Горячее;Main Courses;
Тушеная Индейка с Луком;Braised Turkey with Onions;;Горячее;Main Courses;
Тушеная Утиная Ножка;Stewed Duck Leg;240;Горячее;Main Courses;130
Тушеная Шея Индейки;Stewed Turkey Neck;150;Горячее;Main Courses;150
Тушеные Говяжьи Хвосты;Stewed Beef Tails;270;Горячее;Main Courses;150
Тушеные Телячьи Хвосты;Stewed Veal Tails;260;Горячее;Main Courses;140
Тыква Запеченная;Baked Pumpkin;45;Гарнир;Side Dishes;
Тыква Печёная;Baked Pumpkin;35;Завтрак;Breakfast;90
Тыква Печеная в Меду;Pumpkin Baked in Honey;100;Завтрак;Breakfast;175
Тыква с Луком и Зирой;Pumpkin with Onion and Cumin;45;Гарнир;Side Dishes;
Тыква Тушеная с Луком и Зирой;Stewed Pumpkin with Onion and Cumin;80;Гарнир;Side Dishes;100
Тыква Тушенная с Луком и Зирой;Pumpkin Stewed with Onions and Cumin;70;Гарнир;Side Dishes;
Тыквенный Крем-Суп;Pumpkin Cream Soup;60;Супы;Soups;200
Тыквенный Суп с Крутонами;Pumpkin Soup with Croutons;60;;;200
Тыквенный Суп-пюре с Имбирем;Pumpkin Soup-Puree with Ginger;54;Супы;Soups;200
Угра Ош;Ugra-osh;54;Супы;Soups;200
Уолдорф Салат с Яблоком;Waldorf Apple Salad;75;;;150
Устрицы;Oysters;60;Холодная Закуска;Cold Starters;100
Устрицы Французские Fin de Clair;French Oysters Fine de Claire;70;Закуска;Starters;
Утиная Грудка;Duck Breast;200;Горячее;Main Courses;150
Утиная Грудка по-Азиатски;Asian-Style Duck Breast;180;Горячее;Main Courses;120
Утиная Грудка с Айвой;Duck Breast with Quince;220;Горячее;Main Courses;140
Утиная Грудка с Карамельной Морковью;Duck Breast with Caramelized Carrots;240;Горячее;Main Courses;150
Утиная Грудка с Клюквенный Соусом;Duck Breast with Cranberry Sauce;220;Горячее;Main Courses;150
Утиная Грудка со Сливой;Duck Breast with Plum;230;Горячее;Main Courses;
Утиная Грудка Су-вид;Duck Breast Sous-vide;200;Горячее;Main Courses;150
Утиная Ножка Томленая;Stewed Duck Leg;220;Горячее;Main Courses;130
Утиная Ножка Томленая в Печи с Тушеной Квашенной Капустой;Duck Leg on Sauerkraut;220;Горячее;Main Courses;
Утка Запеченная;Baked Duck;330;Горячее;Main Courses;
Уха;"""Ukha"" Fish Soup";90;Супы;Soups;200
Уха из Осетрины;Sturgeon Fish Soup;90;Супы;Soups;200
Уха из Сибаса;Seabass Fish Soup;;Горячее;Main Courses;
Уха из Судака;Pike-Perch Fish Soup;35;Супы;Soups;200
Уха из Трёх Видов Рыбы;3-Fish Fish Soup;90;Супы;Soups;200
Фаланги Краба Запеченные;Baked Crab Phalanges;95;Горячая Закуска;Hot Starters;
Фаршированные Перцы;Stuffed Bell Peppers;140;Горячее;Main Courses;150
Фасоль в Томатном Соусе;Beans in Tomato Sauce;87;Гарнир;Side Dishes;100
Фасоль Жареная с Кукурузой;Beans with Maize;140;Гарнир;Side Dishes;
Фасоль Кенийская;Kenyan Beans;80;Гарнир;Side Dishes;
Фасоль Кенийская с Грибами;Kenyan Beans with Mushrooms;90;Гарнир;Side Dishes;
Фасоль Кенийская с Чесноком;Kenyan Beans with Garlic;85;Гарнир;Side Dishes;
Фасоль Стручковая;Green Beans;35;Гарнир;Side Dishes;
Фасоль Тушеная;Stewed Beans;90;Гарнир;Side Dishes;100
Филе Барабульки Запеченное;Oven Baked Surmullet Fillet;120;Горячее;Main Courses;
Филе Говядины;Beef Fillet;188;Горячее;Main Courses;150
Филе Говядины Гриль;Grilled Beef Fillet;240;Горячее;Main Courses;
Филе Дорадо;Dorado Fillet;130;Горячее;Main Courses;
Филе Дорадо на Пару;Steamed Dorado Fillet;105;Горячее;Main Courses;150
Филе Дорадо на Пару с Соусом из Шпината;Steamed Dorado Fillet with Spinach Sauce;120;Горячее;Main Courses;150
Филе Дорадо на Пару со Шпинатом;Steamed Dorado Fillet with Spinach;95;Горячее;Main Courses;200
Филе Индейки с Клюквенным Соусом;Turkey Fillet with Cranberry Sauce;130;Горячее;Main Courses;140
Филе Миньон;Filet Mignon;210;Горячее;Main Courses;160
Филе Миньон с Овощами Нуазет;Beef Fillet with Noisette Vegetables;180;Горячее;Main Courses;
Филе Морского Окуня в Томатном Соусе Запечённое;Baked Sea Bass Fillet with Tomato Sauce;90;Горячее;Main Courses;150
Филе Морского Палтуса по Средиземноморски;Mediterranean-Style Halibut Fillet;110;Горячее;Main Courses;150
Филе Морского Языка Томленое в Бульоне;Stewed Sole Fillet in Broth;80;Горячее;Main Courses;
Филе Палтуса со Шпинатом;Halibut fillet with spinach;110;Горячее;Main Courses;150
Филе по-Средиземноморски;Mediterranean-style Fillet;100;Горячее;Main Courses;
Филе Сёмги;Salmon Fillet;210;Горячее;Main Courses;
Филе Сёмги в Соусе Терияки;Salmon Fillet in Teriyaki Sauce;250;Горячее;Main Courses;
Филе Сёмги Запеченное;Baked Salmon Fillet;200;Горячее;Main Courses;150
Филе Сёмги с Овощами Папильот;Salmon Fillet with Vegetables En Papillote;200;Горячее;Main Courses;150
Филе Сибаса в Белом Соусе;Sea Bass Fillet in White Sauce;150;Горячее;Main Courses;
Филе Сибаса на Пару;Steamed Sea Bass Fillet;100;Горячее;Main Courses;120
Филе Сибаса по-Средиземноморски;Sea Bass Fillet Mediterranean-style;151;Горячее;Main Courses;
Филе Сибаса Припущенное;Sea Bass Fillet;110;Горячее;Main Courses;
Филе Сибаса с Паровыми Овощами;Sea Bass Fillet with Steamed Vegetables;90;Горячее;Main Courses;150
Филе Сибаса с Соусом из Шпината;Sea Bass Fillet with Spinach Sauce;110;Горячее;Main Courses;150
Филе Сибаса со Шпинатом;Seabass Fillet with Spinach;120;Горячее;Main Courses;140
Филе Сибаса Су-вид;Sous-Vide Sea Bass Fillet;97;Горячее;Main Courses;180
Филе Судака на Пару;Steamed Pike perch fillet;90;Горячее;Main Courses;
Филе Судака на Пару с Овощами;Steamed Pike Perch Fillet with Vegetables;70;Горячее;Main Courses;120
Филе Судака на Сковороде;Pan-fried Pike Perch;90;Горячее;Main Courses;150
Филе Телятины Су-Вид;Veal Fillet Sous-Vide;120;Горячее;Main Courses;
Филе Трески Жареное с Овощами;Fried Cod Fillet with Vegetables;140;Горячее;Main Courses;
Филе Трески на Пару;Steamed Cod Fillet;90;Горячее;Main Courses;
Филе Тюрбо Запечённое с Креветкой;Oven Baked Turbot Fillet with Prawns;170;Горячее;Main Courses;150
Форель Горячего Копчения;Hot?Smoked Trout;190;Закуска;Starters;100
Французский Омлет;French Omelette;170;Завтрак;Breakfast;
Французский Тост;French Toast;220;Завтрак;Breakfast;
Французский Тост с Лососем;French Toast with Salmon;220;Завтрак;Breakfast;80
Фрикасе из Перепелки;Quail Fricassee;227;Горячее;Main Courses;
Фруктовое Ассорти;Assorted Fruits;50;Завтрак;Breakfast;
Фруктово-Ягодный Салат;Fruit and Berry Salad;80;Завтрак;Breakfast;150
Фруктовый Салат;Fruit Salad;60;Завтрак;Breakfast;100
Фруктовый Салат с Йогуртом;Fruit Salad with Yogurt;120;Завтрак;Breakfast;120
Фруктовый Салат с Кокосовым Йогуртом;Fruit Salad with Coconut Yoghurt;63;Завтрак;Breakfast;
Фрукты;Fruits;50;Завтрак;Breakfast;100
Фрукты Свежие;Fresh Fruits;40;Завтрак;Breakfast;100
Фуа-гра на Булочке Бриошь с Ягодным Соусом;Foie Gras on Brioche with Berry Sauce;320;Горячая Закуска;Hot Starters;
Фузилли с Маслом;Fusilli with Butter;130;Гарнир;Side Dishes;
Фульмидас из Фасоли;Ful Medames with Beans;140;Завтрак;Breakfast;
Фунчоза с Овощами;Funchoza with Vegetables;140;Салаты;Salads;
Ханум с Овощами;Khanum with Vegetables;120;Горячее;Main Courses;150
Ханум с Тыквой;Pumpkin Khanoum;130;Горячее;Main Courses;
Ханум с Ягненком;Khanum with Lamb;230;Горячая Закуска;Hot Starters;
Ханум с Ягнёнком;Khanum with Lamb;190;Горячее;Main Courses;140
Харчо;Kharcho;120;Супы;Soups;200
Харчо с Телятиной;Kharcho with Veal;90;Супы;Soups;200
Харчо с Телятиной и Хрящами;Kharcho with Veal and Cartilage;;Супы;Soups;
Хашлама из Телятины;Veal Khashlama;170;Горячее;Main Courses;140
Хвосты Телячьи с Картофельным Пюре;Veal Tails with Mashed Potatoes;140;Горячее;Main Courses;120
Хвосты Телячьи Тушенные с Овощами;Veal Tails Stewed with Vegetables;190;Горячее;Main Courses;
Хлеб Безглютеновый;Gluten-Free Bread;188;Завтрак;Breakfast;
Холодец;Kholodets;60;Холодная Закуска;Cold Starters;80
Холодец из Телятины;Veal Aspic;;Закуска;Starters;
Хоровац;Khorovats;220;Горячая Закуска;Hot Starters;120
Хрустящие Лангустины;Crispy Langoustines;210;Горячее;Main Courses;
Хрустящий Баклажан с Помидором;Crispy Eggplant with Tomato;120;Салаты;Salads;120
Хумус;Hummus;170;Завтрак;Breakfast;50
Хумус с Кинзой;Hummus with Cilantro;270;Завтрак;Breakfast;50
Хумус с Овощами;Hummus with Vegetables;160;Завтрак;Breakfast;
Хумус Эдамаме;Hummus Edamame;180;Гарнир;Side Dishes;
Хурда;Khurda;135;Супы;Soups;200
Хурда с Курицей;Khurda with Chicken;63;Супы;Soups;200
Цезарь с Креветками;Caesar Salad with Shrimps;180;Салаты;Salads;130
Цезарь с Куриной Грудкой;Caesar with Chicken Breast;170;Салаты;Salads;120
Цезарь с Курицей;Caesar with Chicken;190;Салаты;Salads;150
Цезарь с Цыпленком;Caesar with Baby Chicken;190;Салаты;Salads;
Цукини Гриль;Grilled Zucchini;28;Гарнир;Side Dishes;150
Цукини с Крабом;Zucchini with Crab;120;Завтрак;Breakfast;50
Цукини с Луком;Zucchini with Onions;45;Гарнир;Side Dishes;100
Цукини с Томатами;Zucchini with Tomatoes;40;Гарнир;Side Dishes;100
Цуккини Жареные;Fried Zucchini;130;Гарнир;Side Dishes;
Цыпленок Жареный;Fried Chicken;200;Горячее;Main Courses;160
Цыпленок су-вид Жареный;Sous Vide Fried Chicken;180;Горячее;Main Courses;
Цыпленок Табака;Chicken Tabaka;175;Горячее;Main Courses;150
Цыплята;Baby Chicken;200;Горячее;Main Courses;
Цыплята Запеченные;Baked Baby Chicken;210;Горячее;Main Courses;150
Цыплята Запеченные с Имбирем;Roasted Chicken with Ginger;190;Горячее;Main Courses;150
Цыплята Табака;Chicken Tapaka;230;Горячее;Main Courses;150
Чахохбили из Курицы;Chicken Chakhokhbili;160;Горячее;Main Courses;180
Чахохбили из Цыплят;Baby Chicken Chakhokhbili;160;Горячее;Main Courses;150
Черный Петух Тушеный;Stewed Black Rooster;140;Горячее;Main Courses;
Черный Рис с Брокколи;Black Rice with Broccoli;;Гарнир;Side Dishes;
Черный Рис с Овощами;Black Rice with Vegetables;;Гарнир;Side Dishes;
Чилийский Сибас под Соусом Сальморильо;Chilean Seabass with Salmorillo Sauce;150;Горячее;Main Courses;
Чкмерули из Курицы;Chicken Chkmeruli;170;Горячее;Main Courses;
Чука Салат с Телятиной и Ореховым Соусом;Chuka Salad with Veal and Walnut Sauce;275;Салаты;Salads;
Чука Салат с Телятиной, Овощами и Ореховой Заправкой;Chuka Salad with Veal, Vegetables, and Nut Dressing;110;Салаты;Salads;120
Чука Салат с Телячьим Языком и Ореховым Соусом;Chuka Salad with Veal Tongue and Nut Sauce;140;Салаты;Salads;
Шаверма с Курицей;Chicken Shawarma;240;Закуска;Starters;80
Шакшука;Shakshuka;140;Завтрак;Breakfast;160
Шамайка;Shamaika;130;Закуска;Starters;100
Шатобриан;Chateaubriand;210;Горячее;Main Courses;150
Шауля;Shavlya;160;Горячее;Main Courses;180
Шаурма;Shawarma;220;Горячая Закуска;Hot Starters;
Шашлык Кусковой из Ягненка (от Камиллы);Lamb Skewer;230;Шашлык;BBQ;
Шашлыки Куриные;Chicken Kebabs;220;Горячее;Main Courses;
Шашлычки из Говядины;Beef Skewers;250;Горячее;Main Courses;
Шашлычки из Цыплят;Baby Chicken Skewers;210;Горячее;Main Courses;
Шеи Индейки Тушеные;Stewed Turkey Necks;150;Закуска;Starters;
Шеи Индейки Тушеные с Луком;Turkey Necks Stewed with Onions;160;Горячее;Main Courses;180
Шея Индейки Тушеная с Луком;Braised Turkey Neck with Onions;140;Горячее;Main Courses;150
Шея Ягненка Запечённая с Овощами;Baked Lamb Neck with Vegetables;188;Горячее;Main Courses;200
Шилпилдок;Shilpildok;225;Горячее;Main Courses;150
Шнитцель из Телятины по-Милански;Veal Milanese Schnitzel;300;Горячее;Main Courses;
Шницель из Телятины;Veal Schnitzel;280;Горячее;Main Courses;200
Шницель Куриный;Chicken Schnitzel;185;Горячее;Main Courses;150
Шницель Министерский;Minister's Schnitzel;240;Горячее;Main Courses;
Шпинат Припущенный с Луком;Spinach Sauteed with Onions;35;Гарнир;Side Dishes;75
Шпинат с Чесноком;Spinach with Garlic;57;Гарнир;Side Dishes;150
Шурпа;Shurpa;130;Супы;Soups;200
Шурпа из Говядины;Beef Shurpa;;Супы;Soups;
Шурпа из Ягненка;Lamb Shurpa;;Супы;Soups;
Шурпа с Телятиной;Shurpa with Veal;100;Супы;Soups;200
Шурпа с Ягненком;Lamb Shurpa;195;Супы;Soups;200
Щавелевый Суп;Sorrel Soup;35;Супы;Soups;200
Щавелевый Суп с Телятиной;Sorrel Soup with Veal;56;Супы;Soups;200
Щи Зеленые;Green Shchi;40;Супы;Soups;200
Щи Зеленые с Телятиной и Яйцом;Green Shchi with Veal and Egg;60;Супы;Soups;200
Щи Зеленые с Яйцом;Green Shchi with Egg;60;Супы;Soups;200
Щи из Квашенной Капусты;Sauerkraut Shchi;75;Супы;Soups;200
Щи из Квашеной Капусты с Телятиной;Sauerkraut Soup with Veal;34;Супы;Soups;200
Щи из Кислой Капусты с Телятиной;Sauerkraut Shchi with Veal;;Супы;Soups;
Щи из Молодой Капусты с Телятиной;Shchi with Young Cabbage and Veal;50;Супы;Soups;200
Щи из Свежей Капусты;Fresh Cabbage Shchi;30;Супы;Soups;200
Щи из Телятины с Хрящами;Veal Shchi with Cartilage;75;Супы;Soups;200
Щи Кислые с Телятиной;Sour Shchi with Veal;40;Супы;Soups;200
Щи с Телятиной;Cabbage Soup with Veal;70;Супы;Soups;200
Щи с Щавелем;Shchi with Sorrel;115;Супы;Soups;200
Щи с Щавелем и Яйцом;Shchi with Sorrel and Egg;65;Супы;Soups;200
Щи Свежие с Телятиной;Fresh Shchi with Veal;45;Супы;Soups;200
Ягненок Запеченный;Baked Lamb;250;Горячее;Main Courses;
